[2025-05-09 14:58:02] Played: Tommy H Brandon - Distant Candle Light | Emotion: sad | Attribute match: Yes
[2025-05-09 15:01:10] Played: Dor-c - Sunshine Rider - No Backing Vocals | Emotion: calm | Attribute match: Yes
[2025-05-09 15:02:43] Played: Adi Goldstein - Tear Away | Emotion: calm | Attribute match: Yes
[2025-05-09 15:04:50] Played: Simon Berggren Ballads - Weekdays in Blue | Emotion: calm | Attribute match: Yes
[2025-05-09 15:04:57] Played: Adi Goldstein - Tear Away | Emotion: calm | Attribute match: Yes
[2025-05-09 15:05:10] Played: Bobby Coxx And The Righteous - Can Ya Feel it | Emotion: happy | Attribute match: Yes
[2025-05-09 15:05:14] Played: Bobby Coxx And The Righteous - Can Ya Feel it | Emotion: happy | Attribute match: Yes
[2025-05-09 15:05:28] Played: Bobby Coxx And The Righteous - Can Ya Feel it | Emotion: happy | Attribute match: Yes
[2025-05-09 15:06:55] Played: Devon May - Funk to Funk | Emotion: happy | Attribute match: Yes
[2025-05-09 15:07:23] Played: Bobby Coxx And The Righteous - Can Ya Feel it | Emotion: happy | Attribute match: Yes
[2025-05-09 15:13:15] Played: Roie Shpigler - Into the Light - Instrumental Version | Emotion: calm | Attribute match: Yes
[2025-05-09 15:13:22] Played: Dor-c - Sunshine Rider - No Backing Vocals | Emotion: calm | Attribute match: Yes
[2025-05-10 12:58:17] Played: Dor-c - Sunshine Rider - No Backing Vocals | Emotion: calm | Attribute match: Yes
[2025-05-10 12:58:23] Played: Adi Goldstein - Tear Away | Emotion: calm | Attribute match: Yes
[2025-05-10 12:58:28] Played: Adi Goldstein - Tear Away | Emotion: calm | Attribute match: Yes
[2025-05-10 12:58:30] Played: Bobby Coxx And The Righteous - Can Ya Feel it | Emotion: happy | Attribute match: Yes
[2025-05-10 12:58:34] Played: Devon May - Funk to Funk | Emotion: happy | Attribute match: Yes
[2025-05-10 12:58:38] Played: Bobby Coxx And The Righteous - Can Ya Feel it | Emotion: happy | Attribute match: Yes
[2025-05-10 12:58:40] Played: Gil Kita - Silly Lovebirds | Emotion: happy | Attribute match: Yes
[2025-05-10 13:03:18] Played: Roie Shpigler - Into the Light - Instrumental Version | Emotion: calm | Attribute match: Yes
[2025-05-10 13:03:25] Played: Flint - Experience Sonder - Instrumental Version | Emotion: calm | Attribute match: Yes
[2025-05-10 13:03:34] Played: Flint - Experience Sonder - Instrumental Version | Emotion: calm | Attribute match: Yes
